,date,neg,pos,total
530,1862-10-24,370,622,23710
531,1862-10-25,340,636,22893
532,1862-10-26,243,535,19971
533,1862-10-27,441,667,23196
534,1862-10-29,349,688,23208
535,1862-10-30,386,683,24181
536,1862-10-31,343,698,23829
537,1862-11-01,349,681,24480
538,1862-11-02,403,584,19974
539,1862-11-03,429,763,24384
540,1862-11-04,413,731,24338
541,1862-11-05,326,540,21027
542,1862-11-06,414,698,23588
543,1862-11-07,428,716,25280
544,1862-11-08,391,672,21230
545,1862-11-09,326,614,19738
546,1862-11-10,417,771,22339
547,1862-11-11,306,742,21001
548,1862-11-13,339,663,24178
549,1862-11-14,340,639,24848
550,1862-11-15,339,594,20421
551,1862-11-17,359,641,21001
552,1862-11-18,358,608,19412
553,1862-11-19,336,610,22703
554,1862-11-20,301,608,22547
555,1862-11-21,362,691,24144
556,1862-11-22,389,663,24569
557,1862-11-23,357,575,22129
558,1862-11-26,496,786,26864
559,1862-11-27,380,728,22989
560,1862-11-28,409,628,22697
561,1862-11-29,271,546,21237
562,1862-11-30,433,689,25064
563,1862-12-02,381,863,28078
564,1862-12-03,404,688,26669
565,1862-12-04,395,675,27265
566,1862-12-05,422,700,25592
567,1862-12-06,442,757,28846
568,1862-12-08,507,898,26336
569,1862-12-09,418,788,28108
570,1862-12-10,349,709,27740
571,1862-12-11,390,722,26979
572,1862-12-13,382,793,27166
573,1862-12-14,302,746,24485
574,1862-12-16,472,856,28585
575,1862-12-17,403,678,26761
576,1862-12-18,316,734,24325
577,1862-12-19,485,809,26715
578,1862-12-21,307,799,25062
579,1862-12-23,493,872,27368
580,1862-12-25,357,765,23507
581,1862-12-26,350,602,21393
582,1862-12-27,402,818,26917
583,1862-12-28,323,636,24061
584,1862-12-29,365,752,25134
585,1862-12-30,375,884,28529
586,1863-01-01,361,691,26901
587,1863-01-02,410,774,24989
588,1863-01-03,396,724,27125
589,1863-01-04,451,872,25999
590,1863-01-05,426,784,25069
591,1863-01-06,366,736,26060
592,1863-01-07,465,727,24708
593,1863-01-08,388,738,24424
594,1863-01-09,377,661,25675
595,1863-01-10,337,710,25582
596,1863-01-11,368,758,25263
597,1863-01-12,405,704,24723
598,1863-01-13,412,807,24893
599,1863-01-14,337,670,23533
600,1863-01-15,312,743,26329
601,1863-01-16,317,674,26501
602,1863-01-17,429,780,26854
603,1863-01-18,406,838,27279
604,1863-01-19,403,771,27256
605,1863-01-20,431,801,26530
606,1863-01-21,429,821,27475
607,1863-01-22,399,760,27413
608,1863-01-23,380,679,25292
609,1863-01-24,350,636,24506
610,1863-01-25,315,716,23256
611,1863-01-26,432,729,25456
612,1863-01-27,393,860,26883
613,1863-01-28,478,811,27483
614,1863-01-30,367,768,28082
615,1863-01-31,592,1037,31029
616,1863-02-01,398,690,24461
617,1863-02-02,401,727,25091
618,1863-02-04,328,664,25116
619,1863-02-07,480,808,30588
620,1863-02-08,471,817,30314
621,1863-02-09,488,1013,29723
622,1863-02-11,455,922,30709
623,1863-02-12,423,883,30848
624,1863-02-13,428,749,31637
625,1863-02-14,403,709,31245
626,1863-02-15,448,802,29738
627,1863-02-16,433,712,25127
628,1863-02-17,345,668,27913
629,1863-02-18,414,667,25503
630,1863-02-19,533,731,28659
631,1863-02-21,494,797,29217
632,1863-02-23,419,789,27904
633,1863-02-24,487,863,28267
634,1863-02-25,430,698,28809
635,1863-02-26,375,594,24815
636,1863-02-27,485,846,27518
637,1863-02-28,437,852,30186
638,1863-03-02,431,755,20711
639,1863-03-05,489,806,27410
640,1863-03-06,420,710,27358
641,1863-03-09,421,687,25388
642,1863-03-10,347,782,25380
643,1863-03-11,283,668,25714
644,1863-03-12,407,717,27109
645,1863-03-13,386,830,28294
646,1863-03-14,476,670,24462
647,1863-03-15,312,580,23493
648,1863-03-16,452,808,24813
649,1863-03-17,375,760,25847
650,1863-03-18,409,762,24927
651,1863-03-19,504,951,30538
652,1863-03-20,442,1005,31165
653,1863-03-21,447,990,29721
654,1863-03-22,371,764,27441
655,1863-03-23,435,790,24225
656,1863-03-24,324,641,22754
657,1863-03-25,464,839,27479
658,1863-03-26,452,706,27655
659,1863-03-27,399,997,29945
660,1863-03-28,390,940,28476
661,1863-03-29,356,744,28326
662,1863-03-30,382,836,25838
663,1863-03-31,392,707,27853
664,1863-04-01,418,812,28971
665,1863-04-02,411,929,27169
666,1863-04-03,338,686,25883
667,1863-04-04,371,780,28514
668,1863-04-05,376,618,23552
669,1863-04-07,407,821,23455
670,1863-04-08,433,818,27257
671,1863-04-09,398,679,24482
672,1863-04-10,391,677,28280
673,1863-04-11,395,754,27559
674,1863-04-12,528,790,28021
675,1863-04-13,481,889,32274
676,1863-04-14,368,768,25020
677,1863-04-16,466,819,27701
678,1863-04-17,548,826,30545
679,1863-04-18,430,713,26070
680,1863-04-19,396,660,28314
681,1863-04-20,625,810,29844
682,1863-04-21,439,926,29565
683,1863-04-22,277,680,25012
684,1863-04-23,380,731,30153
685,1863-04-27,460,772,26739
686,1863-04-28,341,833,29020
687,1863-04-29,430,844,30868
688,1863-04-30,430,719,31717
689,1863-05-01,355,732,29604
690,1863-05-02,467,756,30114
691,1863-05-04,441,880,28392
692,1863-05-05,328,754,27516
693,1863-05-07,343,736,29126
694,1863-05-08,470,764,28166
695,1863-05-10,439,872,28353
696,1863-05-11,393,757,26771
697,1863-05-12,351,775,25293
698,1863-05-13,397,822,28197
699,1863-05-14,447,829,29719
700,1863-05-15,420,733,26086
701,1863-05-16,390,748,29695
702,1863-05-17,341,736,26727
703,1863-05-18,440,761,23569
704,1863-05-20,332,713,31909
705,1863-05-21,329,792,25725
706,1863-05-22,425,755,28367
707,1863-05-23,347,825,28200
708,1863-05-24,362,807,33424
709,1863-05-25,368,857,25574
710,1863-05-26,350,750,27168
711,1863-05-28,362,774,25621
712,1863-05-29,344,831,29253
713,1863-05-30,372,683,26106
714,1863-06-01,484,878,33090
715,1863-06-02,455,807,26164
716,1863-06-08,409,727,25887
717,1863-06-09,507,760,25769
718,1863-06-11,424,724,26708
719,1863-06-12,382,760,26407
720,1863-06-13,330,735,26814
721,1863-06-14,432,890,28824
722,1863-06-15,467,853,26182
723,1863-06-16,396,799,26799
724,1863-06-17,296,615,25990
725,1863-06-18,434,796,26942
726,1863-06-19,339,846,26575
727,1863-06-20,478,692,27802
728,1863-06-21,404,735,26623
729,1863-06-22,456,768,25131
730,1863-06-24,260,516,22949
731,1863-06-25,413,687,27262
732,1863-06-26,406,698,26526
733,1863-06-28,408,732,28414
734,1863-07-01,437,596,26792
735,1863-07-02,358,627,25166
736,1863-07-03,559,814,30736
737,1863-07-05,335,741,28226
738,1863-07-06,402,641,23476
739,1863-07-08,478,930,28609
740,1863-07-09,348,694,27211
741,1863-07-10,502,829,27725
742,1863-07-11,336,757,27595
743,1863-07-12,409,847,26738
744,1863-07-13,389,662,23063
745,1863-07-14,420,868,25740
746,1863-07-15,344,787,25409
747,1863-07-16,465,825,27881
748,1863-07-18,442,796,28424
749,1863-07-19,342,740,25434
750,1863-07-20,428,880,22760
751,1863-07-21,455,797,26338
752,1863-07-22,419,816,27845
753,1863-07-23,397,770,27689
754,1863-07-24,506,1235,37824
755,1863-07-25,349,788,27843
756,1863-07-26,391,769,27144
757,1863-07-27,518,900,26743
758,1863-07-28,436,777,26289
759,1863-07-29,590,823,28332
760,1863-07-30,376,694,23862
761,1863-07-31,376,791,27288
762,1863-08-01,388,742,27516
763,1863-08-02,382,767,28038
764,1863-08-03,426,736,25565
765,1863-08-04,353,594,24683
766,1863-08-05,420,753,26777
767,1863-08-06,462,704,26361
768,1863-08-07,456,778,27610
769,1863-08-08,405,681,26639
770,1863-08-09,455,730,27321
771,1863-08-10,419,779,23690
772,1863-08-11,352,918,28215
773,1863-08-12,483,767,27819
774,1863-08-13,436,761,27862
775,1863-08-14,365,643,26774
776,1863-08-15,348,808,27237
777,1863-08-16,324,678,23677
778,1863-08-17,482,781,21763
779,1863-08-18,329,773,26927
780,1863-08-19,403,758,27074
781,1863-08-20,423,777,27009
782,1863-08-21,390,799,28673
783,1863-08-22,412,876,27585
784,1863-08-23,439,790,26696
785,1863-08-24,370,758,23989
786,1863-08-25,463,915,28828
787,1863-08-26,402,711,26997
788,1863-08-27,443,793,27172
789,1863-08-28,264,624,25562
790,1863-08-29,315,588,23157
791,1863-08-30,407,803,26340
792,1863-08-31,404,807,26038
793,1863-09-01,327,592,25359
794,1863-09-02,375,783,27400
795,1863-09-03,358,775,26853
796,1863-09-04,488,840,29155
797,1863-09-05,365,755,25644
798,1863-09-06,426,711,26806
799,1863-09-07,448,758,25498
800,1863-09-08,431,835,27692
801,1863-09-09,431,775,27585
802,1863-09-10,377,825,27419
803,1863-09-11,447,780,27668
804,1863-09-12,300,557,24474
805,1863-09-13,471,857,29536
806,1863-09-14,422,719,23733
807,1863-09-15,470,819,28333
808,1863-09-16,424,907,27402
809,1863-09-17,391,756,27149
810,1863-09-18,372,832,27562
811,1863-09-19,444,766,27394
812,1863-09-20,452,695,27603
813,1863-09-21,388,849,25983
814,1863-09-22,333,847,29010
815,1863-09-23,425,807,27947
816,1863-09-24,259,622,23355
817,1863-09-25,389,748,27163
818,1863-09-26,410,807,29422
819,1863-09-27,355,694,23742
820,1863-09-28,333,636,21382
821,1863-09-30,398,699,24820
822,1863-10-02,330,683,25391
823,1863-10-03,400,760,26520
824,1863-10-05,401,744,22248
825,1863-10-06,373,679,23782
826,1863-10-07,370,890,30994
827,1863-10-08,353,601,20938
828,1863-10-09,466,815,27461
829,1863-10-10,289,525,20771
830,1863-10-11,378,665,25144
831,1863-10-12,361,681,23753
832,1863-10-15,419,681,25010
833,1863-10-16,424,801,27777
834,1863-10-17,407,743,29109
835,1863-10-19,443,930,25173
836,1863-10-20,313,752,26578
837,1863-10-21,349,711,24563
838,1863-10-22,453,661,25730
839,1863-10-23,394,731,27016
840,1863-10-24,436,763,27134
841,1863-10-25,301,595,22497
842,1863-10-26,425,741,23043
843,1863-10-27,406,746,28922
844,1863-10-28,327,638,22523
845,1863-10-29,451,820,27937
