,date,neg,pos,total
666,1906-03-14,541,641,25251
667,1906-03-15,391,706,25712
668,1906-03-16,390,623,25862
669,1906-03-17,338,565,24690
670,1906-03-18,356,657,23636
671,1906-03-19,462,704,25645
672,1906-03-20,357,593,25313
673,1906-03-21,432,570,26482
674,1906-03-22,428,593,25069
675,1906-03-23,376,628,26461
676,1906-03-24,382,664,26574
677,1906-03-25,329,504,20640
678,1906-03-26,480,680,25632
679,1906-03-30,432,650,26267
680,1906-03-31,412,636,26227
681,1906-04-01,407,601,24060
682,1906-04-02,439,751,25544
683,1906-04-03,443,797,26373
684,1906-04-04,411,670,25198
685,1906-04-05,392,586,25996
686,1906-04-06,405,652,25823
687,1906-04-07,392,601,23968
688,1906-04-08,357,586,24664
689,1906-04-09,498,669,24905
690,1906-04-10,391,652,25723
691,1906-04-11,445,644,25534
692,1906-04-12,516,599,25979
693,1906-04-14,367,637,26486
694,1906-04-16,433,649,23638
695,1906-04-17,487,699,24718
696,1906-04-18,385,555,24537
697,1906-04-19,532,622,26263
698,1906-04-20,489,530,23145
699,1906-04-23,541,655,26206
700,1906-04-24,396,620,25488
701,1906-04-26,320,606,25577
702,1906-04-27,417,666,26051
703,1906-04-28,409,665,26299
704,1906-04-29,414,579,24156
705,1906-04-30,415,707,24970
706,1906-05-01,370,543,24986
707,1906-05-02,469,554,25054
708,1906-05-03,392,511,25054
709,1906-05-04,363,573,25246
710,1906-05-05,374,530,24496
711,1906-05-09,426,618,25218
712,1906-05-13,352,635,24621
713,1906-05-14,417,724,25176
714,1906-05-15,398,661,25610
715,1906-05-16,423,658,25365
716,1906-05-17,498,770,26991
717,1906-05-18,489,669,26077
718,1906-05-19,432,649,25366
719,1906-05-20,467,727,25676
720,1906-05-21,354,517,22337
721,1906-05-22,380,565,25895
722,1906-05-23,409,659,25454
723,1906-05-24,455,711,25330
724,1906-05-25,485,744,25680
725,1906-05-26,434,651,26198
726,1906-05-27,393,649,24888
727,1906-05-28,531,786,25261
728,1906-05-29,468,654,25191
729,1906-05-30,431,695,25137
730,1906-05-31,472,610,25946
731,1906-06-01,439,631,25858
732,1906-06-02,402,700,26196
733,1906-06-03,396,606,25319
734,1906-06-04,415,666,25475
735,1906-06-05,420,769,25512
736,1906-06-06,375,663,24408
737,1906-06-07,451,711,26378
738,1906-06-08,387,645,25196
739,1906-06-09,409,694,26000
740,1906-06-10,405,746,25229
741,1906-06-11,472,746,26013
742,1906-06-12,393,799,25922
743,1906-06-13,386,656,26228
744,1906-06-15,433,747,25935
745,1906-06-16,397,689,27157
746,1906-06-17,431,609,22422
747,1906-06-18,437,739,25247
748,1906-06-19,491,721,25784
749,1906-06-22,443,687,25649
750,1906-06-23,427,704,26169
751,1906-06-24,419,633,24845
752,1906-06-25,399,685,26128
753,1906-06-26,424,670,26782
754,1906-06-27,416,607,26012
755,1906-06-29,403,609,25025
756,1906-06-30,348,600,26632
757,1906-07-01,439,705,25713
758,1906-07-02,463,733,25407
759,1906-07-03,481,519,25581
760,1906-07-04,441,634,25684
761,1906-07-05,428,669,25382
762,1906-07-06,437,594,26277
763,1906-07-07,390,650,25524
764,1906-07-08,480,705,24612
765,1906-07-09,537,742,25277
766,1906-07-10,480,689,26020
767,1906-07-11,413,618,26445
768,1906-07-12,481,751,26788
769,1906-07-13,392,539,25947
770,1906-07-14,489,747,26410
771,1906-07-15,449,764,22851
772,1906-07-16,524,786,24375
773,1906-07-17,495,709,25841
774,1906-07-18,545,680,25699
775,1906-07-20,551,673,25356
776,1906-07-21,460,681,26201
777,1906-07-22,472,724,26091
778,1906-07-23,506,660,27445
779,1906-07-24,446,705,25255
780,1906-07-25,441,718,25417
781,1906-07-26,470,722,26229
782,1906-07-27,436,779,25519
783,1906-07-28,430,756,26440
784,1906-07-29,583,735,26382
785,1906-07-30,565,652,25264
786,1906-08-01,450,657,25433
787,1906-08-03,493,705,25766
788,1906-08-04,470,717,26077
789,1906-08-05,516,596,24996
790,1906-08-06,549,667,24969
791,1906-08-07,540,647,25665
792,1906-08-08,398,663,25534
793,1906-08-09,443,673,26149
794,1906-08-10,471,748,25234
795,1906-08-11,434,641,25323
796,1906-08-12,497,699,25072
797,1906-08-13,486,710,25206
798,1906-08-14,538,700,24565
799,1906-08-15,565,779,25677
800,1906-08-16,550,745,24077
801,1906-08-17,454,709,25150
802,1906-08-18,516,761,25691
803,1906-08-19,512,758,25373
804,1906-08-20,538,718,24816
805,1906-08-21,480,664,25020
806,1906-08-22,443,664,25481
807,1906-08-23,438,675,25478
808,1906-08-24,432,689,25732
809,1906-08-25,491,699,25788
810,1906-08-26,523,680,26097
811,1906-08-27,601,657,25721
